epoch,train_loss,train_top1_accuracy,train_top3_accuracy,train_top5_accuracy,val_loss,val_top1_accuracy,val_top3_accuracy,val_top5_accuracy,learning_rate
1,3.1285617899644733,0.1540984453397819,0.32526728993272197,0.42921336710123625,3.1690031255354905,0.1408450705577883,0.2854460095668996,0.389671361287808,0.001
2,2.8736239706125826,0.23598987656750775,0.4161975104530133,0.5213831930168896,3.108115972599513,0.15993740200436732,0.32331768431014296,0.4297339593020963,0.001
3,2.6576991549922835,0.31124425390480803,0.5065854036495845,0.6157739786506715,3.094313610999237,0.1730829418405121,0.3474178405061761,0.4463223784555665,0.001
4,2.418429449196782,0.3878415371245401,0.6068643148597697,0.7085636072609274,3.144785644638706,0.1787167449792226,0.3536776207702261,0.4579029730414747,0.001
5,2.1922988953789146,0.4670988069028994,0.6847012034594708,0.7793244151012272,3.16815218985174,0.17683881070692214,0.3624413146379408,0.47355242491887767,0.001
6,2.0124611914770507,0.5312483859535683,0.7447445896512793,0.8286245545599125,3.243882370666719,0.1840375587740601,0.3693270738882265,0.47292644802206935,0.001
7,1.8566380838404313,0.5857393729939797,0.7934507514769046,0.8676204741675341,3.2931051790807544,0.19248826297609273,0.3708920182663137,0.46854460138670156,0.001
8,1.7362715890354488,0.6293321626287718,0.8286503796445444,0.8915861783660115,3.2951169310227995,0.18841940506429927,0.3680751177066928,0.46635367747203843,0.001
9,1.6357364265529968,0.664609266007207,0.8546562677455289,0.9127111203118449,3.3810888850073297,0.19780907642580162,0.36682316062969034,0.47355242556249594,0.001
10,1.5524063132148003,0.6949795981920379,0.8763235369950716,0.9284902639511197,3.410900060671596,0.19154929554145286,0.3621283255459184,0.4669796561597845,0.001
11,1.4812353109255612,0.7202107329567099,0.8935488869345796,0.9399824389728668,3.4175651007788095,0.19342723006560394,0.36056338061749094,0.46291079827131054,0.001
12,1.4229939168571262,0.7442539124644977,0.9077785238057927,0.9501833583191588,3.5071040960917825,0.19029733940655824,0.3721439752500382,0.4682316115391273,0.001
13,1.3788041454363655,0.7621507153710048,0.9185992459528985,0.9567171117686935,3.4891658507602314,0.19280125195151762,0.36870109520048044,0.47261345778272745,0.0005
14,1.2748865597529215,0.8036774959601645,0.9388719591145722,0.9694747171873126,3.490454484226185,0.19687010956482148,0.3693270735897369,0.47261345812785605,0.0005
