epoch,train_loss,train_top1_accuracy,train_top3_accuracy,val_loss,val_top1_accuracy,val_top3_accuracy,learning_rate
1,6.174270543714285,0.053940050020530816,0.10590167606106984,5.638703252094105,0.0919175911251981,0.16798732171156894,0.001
2,5.283724133896888,0.11971331516667288,0.19399753630221359,5.204709337177065,0.15594294770206021,0.2393026941362916,0.001
3,4.031373819599467,0.20780917540781665,0.3326738586733361,4.728422224616097,0.1993660855784469,0.3093502377179081,0.001
4,2.3646301102356118,0.40486766956586656,0.6394415618350816,4.630873648224844,0.22694136291600633,0.35118858954041204,0.001
5,1.3772917835552858,0.6144686251819776,0.8459815595953563,5.045310504840784,0.22979397781299524,0.3543581616481775,0.001
6,0.8801845559935371,0.7476949494195378,0.9309044757176453,5.313607255932646,0.23454833597464342,0.3638668779714738,0.001
7,0.5969269111840952,0.8310127291052297,0.9648363134122214,5.515983194481174,0.24088748019017434,0.3759112519809826,0.001
8,0.4091017074456625,0.8907760648027175,0.9832767180559184,5.818027443137675,0.24690966719492868,0.375594294770206,0.0005
9,0.22991687157523516,0.9425883758258987,0.9935794542536116,5.912464398627424,0.2551505546751189,0.3781299524564184,0.0005
10,0.16070236784187925,0.9625592593975139,0.9966030833551084,6.035691837274518,0.2551505546751189,0.3870047543581617,0.0005
11,0.14603363529964072,0.9653962447273134,0.9967897271268058,6.041215779324152,0.2583201267828843,0.38541996830427894,0.0005
12,0.13758036776992766,0.9668147373922132,0.9978722610026504,6.228715566221017,0.2637083993660856,0.3838351822503962,0.00025
13,0.11112330880527414,0.9708089141065362,0.998245548546045,6.245430396362643,0.26148969889064977,0.3889064976228209,0.00025
14,0.10118026687664237,0.9722647355257755,0.9986934935981187,6.220239615704858,0.263391442155309,0.3873217115689382,0.00025
15,0.10071567960544887,0.9712568591586099,0.9987308223524581,6.201221414829019,0.26465927099841524,0.3908082408874802,0.00025
16,0.10107261173939125,0.9712195304042704,0.9986561648437792,6.413575095646733,0.25990491283676703,0.38922345483359744,0.000125
17,0.08851723295451767,0.9738325432080331,0.9991414386501922,6.325507698724085,0.2624405705229794,0.389540412044374,0.000125
18,0.08568432262867713,0.9729366531038859,0.9991787674045317,6.329535147127372,0.26148969889064977,0.3866877971473851,0.000125
19,0.08458810086093713,0.9724140505431333,0.9989921236328344,6.338590261788829,0.2640253565768621,0.38922345483359744,0.000125
20,0.08434802014460653,0.9732726118929411,0.9990294523871739,6.3689738938623295,0.2624405705229794,0.3889064976228209,6.25e-05
21,0.07727043734083758,0.9745791182948225,0.9992160961588712,6.360138604606955,0.2611727416798732,0.3898573692551506,6.25e-05
22,0.07554583392400144,0.9739818582253911,0.9990294523871739,6.349151339130432,0.26275752773375594,0.38827258320126784,6.25e-05
23,0.0756892511319565,0.9737578856993542,0.9991787674045317,6.376981840571964,0.2618066561014263,0.38795562599049127,6.25e-05
24,0.07519221057624272,0.9733845981559596,0.9991041098958527,6.3700974045767085,0.2618066561014263,0.39049128367670366,3.125e-05
25,0.07180238647134801,0.9750270633468962,0.9991041098958527,6.372327630002223,0.263391442155309,0.39049128367670366,3.125e-05
26,0.07121751935069784,0.9752137071185935,0.9993280824218895,6.365620472389621,0.2640253565768621,0.3870047543581617,3.125e-05
27,0.07127245830890602,0.9742058307514279,0.9993280824218895,6.388532893215609,0.2630744849445325,0.39049128367670366,3.125e-05
28,0.07102391158703651,0.9748777483295382,0.9992907536675502,6.381870194660314,0.2630744849445325,0.389540412044374,1.5625e-05
29,0.06906682427376959,0.9754750083989697,0.9993280824218895,6.387616575123202,0.26148969889064977,0.38795562599049127,1.5625e-05
30,0.06882821958423208,0.9754750083989697,0.999365411176229,6.391400787154015,0.26148969889064977,0.38858954041204435,1.5625e-05
1,6.174270543714285,0.053940050020530816,0.10590167606106984,5.638703252094105,0.0919175911251981,0.16798732171156894,0.001
2,5.283724133896888,0.11971331516667288,0.19399753630221359,5.204709337177065,0.15594294770206021,0.2393026941362916,0.001
3,4.031373819599467,0.20780917540781665,0.3326738586733361,4.728422224616097,0.1993660855784469,0.3093502377179081,0.001
4,2.3646301102356118,0.40486766956586656,0.6394415618350816,4.630873648224844,0.22694136291600633,0.35118858954041204,0.001
5,1.3772917835552858,0.6144686251819776,0.8459815595953563,5.045310504840784,0.22979397781299524,0.3543581616481775,0.001
6,0.8801845559935371,0.7476949494195378,0.9309044757176453,5.313607255932646,0.23454833597464342,0.3638668779714738,0.001
7,0.5969269111840952,0.8310127291052297,0.9648363134122214,5.515983194481174,0.24088748019017434,0.3759112519809826,0.001
