epoch,train_loss,train_top1_accuracy,train_top3_accuracy,train_top5_accuracy,val_loss,val_top1_accuracy,val_top3_accuracy,val_top5_accuracy,learning_rate
1,3.1063071888504514,0.16739837819295053,0.30786116418990706,0.3960022726345146,3.1755679229055773,0.14929577439137282,0.2832550861559377,0.38247261344920114,0.0003
2,2.939802176843626,0.23059242808860686,0.387841537129158,0.47611177111083297,3.1095028051188294,0.16338028170879645,0.31361502390325724,0.4103286384883248,0.0003
3,2.8512560398665707,0.25605598885586583,0.42317029078460777,0.5172511750657008,3.078835422668099,0.17621283266279433,0.3298904537594934,0.4266040691467518,0.0003
4,2.7828510170983822,0.27712928052930247,0.45152626416233843,0.5468725788710894,3.055290162096934,0.1787167447040525,0.33677621300977906,0.4419405317269207,0.0003
5,2.725235000732215,0.29497443312954835,0.4747946903815318,0.5694695521987092,3.0362584811047957,0.1837245697286767,0.3458528949807694,0.4544600938407468,0.0003
6,2.6727835063654544,0.3120706574981244,0.49382779810474303,0.5900005164591465,3.0241804078897587,0.19342723006560394,0.3580594674522328,0.454147105047214,0.0003
7,2.6241195961424317,0.33118124065532906,0.5146944889194875,0.6118485614919852,3.010940942629962,0.19029733965840884,0.3646322380022637,0.46228482027382173,0.0003
8,2.581141586435721,0.34600485511342327,0.5328495428493327,0.6270337276090294,2.9972556560438752,0.1993740219512083,0.37996870117941184,0.4760563378789242,0.0003
9,2.5349324154931403,0.357187128784021,0.5499199421024908,0.6441816021468693,2.9995587689216148,0.20563380283555702,0.3677621287545874,0.4651017210852932,0.0003
10,2.489793043640008,0.3722173441331327,0.567377718068445,0.6602964722465542,3.0086139825961213,0.2025039124050424,0.38028169052328487,0.4779342727948429,0.0003
11,2.455870070897574,0.3859046537037151,0.5793605702000089,0.6743195082775467,3.0117251791677937,0.1978090764491211,0.3805946792701787,0.4773082944055865,0.0003
12,2.4126803211471057,0.40057331750932407,0.5963534941346209,0.685940808793261,3.0230800601798045,0.20438184640217275,0.37496087590293703,0.47417840399839134,0.0003
13,2.3728910188377905,0.41222044315430983,0.6089044987130193,0.6992149165417868,2.996776326721263,0.21408450703758963,0.383411580977119,0.4904538339665611,0.0003
14,2.3324808157350483,0.4288776406115795,0.6229791849101971,0.7118692215880138,3.0148887296237854,0.19718309838167378,0.3796557118355388,0.4832550865197219,0.0003
15,2.2931590140232228,0.4424358245896798,0.6366664945054082,0.7241361499799381,3.021747974312175,0.2103286385396277,0.39530516465504967,0.49295774667475706,0.0003
16,2.264667547412244,0.45051908477956887,0.6471514900658817,0.7321161097173916,3.039925095583538,0.2028169013804673,0.38779342696886854,0.48920187888570793,0.0003
17,2.2276968444577734,0.46059087857032177,0.6594700686547771,0.743892360947163,3.0587129562300324,0.19687010963478,0.37902973434175125,0.4744913927452852,0.00015
18,2.113095957584774,0.5042353184236351,0.6946438716854489,0.7752698724147092,3.0529560878616357,0.20500782444630058,0.395305164403199,0.4973395929649962,0.00015
