game_number,opening,model_color,result,model_score,plies
1,French Defence,white,0-1,0.0,82
2,Queen's Gambit,black,1/2-1/2,0.5,128
3,English Opening,white,0-1,0.0,70
4,Reti Opening,black,1-0,0.0,63
5,Caro-Kann Defence,white,0-1,0.0,56
6,King's Indian Defence,black,1-0,0.0,67
7,King's Pawn Game,white,0-1,0.0,62
8,Sicilian Defence,black,1-0,0.0,101
9,French Defence,white,0-1,0.0,78
10,Queen's Gambit,black,1-0,0.0,73
11,English Opening,white,0-1,0.0,76
12,Reti Opening,black,1-0,0.0,71
13,Caro-Kann Defence,white,0-1,0.0,58
14,King's Indian Defence,black,1-0,0.0,61
15,King's Pawn Game,white,0-1,0.0,40
16,Sicilian Defence,black,1-0,0.0,61
17,French Defence,white,0-1,0.0,80
18,Queen's Gambit,black,1/2-1/2,0.5,66
19,English Opening,white,0-1,0.0,100
20,Reti Opening,black,1-0,0.0,69
21,Caro-Kann Defence,white,0-1,0.0,54
22,King's Indian Defence,black,1-0,0.0,37
23,King's Pawn Game,white,0-1,0.0,82
24,Sicilian Defence,black,1/2-1/2,0.5,58
25,French Defence,white,0-1,0.0,70
26,Queen's Gambit,black,1-0,0.0,43
27,English Opening,white,0-1,0.0,92
28,Reti Opening,black,1-0,0.0,59
29,Caro-Kann Defence,white,0-1,0.0,90
30,King's Indian Defence,black,1-0,0.0,89
31,King's Pawn Game,white,0-1,0.0,66
32,Sicilian Defence,black,1-0,0.0,49
33,French Defence,white,0-1,0.0,58
34,Queen's Gambit,black,1-0,0.0,39
35,English Opening,white,0-1,0.0,52
36,Reti Opening,black,1/2-1/2,0.5,48
37,Caro-Kann Defence,white,0-1,0.0,54
38,King's Indian Defence,black,1-0,0.0,73
39,King's Pawn Game,white,0-1,0.0,62
40,Sicilian Defence,black,1-0,0.0,11
41,French Defence,white,0-1,0.0,72
42,Queen's Gambit,black,1-0,0.0,149
43,English Opening,white,0-1,0.0,34
44,Reti Opening,black,1/2-1/2,0.5,50
45,Caro-Kann Defence,white,0-1,0.0,74
46,King's Indian Defence,black,1/2-1/2,0.5,66
47,King's Pawn Game,white,0-1,0.0,34
48,Sicilian Defence,black,1-0,0.0,97
49,French Defence,white,0-1,0.0,42
50,Queen's Gambit,black,1-0,0.0,63
51,English Opening,white,0-1,0.0,80
52,Reti Opening,black,1/2-1/2,0.5,74
53,Caro-Kann Defence,white,0-1,0.0,76
54,King's Indian Defence,black,1-0,0.0,99
55,King's Pawn Game,white,0-1,0.0,64
56,Sicilian Defence,black,1-0,0.0,69
57,French Defence,white,0-1,0.0,72
58,Queen's Gambit,black,1-0,0.0,49
59,English Opening,white,0-1,0.0,68
60,Reti Opening,black,1-0,0.0,71
61,Caro-Kann Defence,white,0-1,0.0,80
62,King's Indian Defence,black,1-0,0.0,67
63,King's Pawn Game,white,0-1,0.0,66
64,Sicilian Defence,black,1-0,0.0,89
65,French Defence,white,0-1,0.0,50
66,Queen's Gambit,black,1-0,0.0,117
67,English Opening,white,0-1,0.0,80
68,Reti Opening,black,1-0,0.0,67
69,Caro-Kann Defence,white,0-1,0.0,74
70,King's Indian Defence,black,1-0,0.0,63
71,King's Pawn Game,white,0-1,0.0,62
72,Sicilian Defence,black,1-0,0.0,11
73,French Defence,white,0-1,0.0,66
74,Queen's Gambit,black,1-0,0.0,77
75,English Opening,white,0-1,0.0,84
76,Reti Opening,black,1-0,0.0,47
77,Caro-Kann Defence,white,0-1,0.0,88
78,King's Indian Defence,black,1-0,0.0,41
79,King's Pawn Game,white,0-1,0.0,32
80,Sicilian Defence,black,1-0,0.0,45
81,French Defence,white,0-1,0.0,60
82,Queen's Gambit,black,1-0,0.0,89
83,English Opening,white,0-1,0.0,56
84,Reti Opening,black,1-0,0.0,53
85,Caro-Kann Defence,white,0-1,0.0,62
86,King's Indian Defence,black,1-0,0.0,97
87,King's Pawn Game,white,0-1,0.0,60
88,Sicilian Defence,black,1-0,0.0,67
89,French Defence,white,0-1,0.0,74
90,Queen's Gambit,black,1-0,0.0,71
91,English Opening,white,0-1,0.0,40
92,Reti Opening,black,1-0,0.0,67
93,Caro-Kann Defence,white,0-1,0.0,44
94,King's Indian Defence,black,1-0,0.0,71
95,King's Pawn Game,white,0-1,0.0,46
96,Sicilian Defence,black,1-0,0.0,77
97,French Defence,white,0-1,0.0,110
98,Queen's Gambit,black,1-0,0.0,79
99,English Opening,white,0-1,0.0,86
100,Reti Opening,black,1-0,0.0,59
