game_number,opening,model_color,result,model_score,plies
1,French Defence,white,0-1,0.0,32
2,Queen's Gambit,black,1/2-1/2,0.5,66
3,English Opening,white,0-1,0.0,46
4,Reti Opening,black,1-0,0.0,59
5,Caro-Kann Defence,white,0-1,0.0,100
6,King's Indian Defence,black,1-0,0.0,65
7,King's Pawn Game,white,0-1,0.0,68
8,Sicilian Defence,black,1-0,0.0,105
9,French Defence,white,0-1,0.0,42
10,Queen's Gambit,black,1-0,0.0,49
11,English Opening,white,0-1,0.0,62
12,Reti Opening,black,1-0,0.0,73
13,Caro-Kann Defence,white,0-1,0.0,40
14,King's Indian Defence,black,1-0,0.0,73
15,King's Pawn Game,white,0-1,0.0,58
16,Sicilian Defence,black,1-0,0.0,43
17,French Defence,white,0-1,0.0,64
18,Queen's Gambit,black,1-0,0.0,43
19,English Opening,white,0-1,0.0,76
20,Reti Opening,black,1-0,0.0,107
21,Caro-Kann Defence,white,0-1,0.0,88
22,King's Indian Defence,black,1-0,0.0,69
23,King's Pawn Game,white,0-1,0.0,76
24,Sicilian Defence,black,1-0,0.0,61
25,French Defence,white,0-1,0.0,88
26,Queen's Gambit,black,1-0,0.0,47
27,English Opening,white,0-1,0.0,60
28,Reti Opening,black,1-0,0.0,57
29,Caro-Kann Defence,white,0-1,0.0,68
30,King's Indian Defence,black,1-0,0.0,91
31,King's Pawn Game,white,0-1,0.0,68
32,Sicilian Defence,black,1-0,0.0,43
33,French Defence,white,0-1,0.0,62
34,Queen's Gambit,black,1-0,0.0,77
35,English Opening,white,0-1,0.0,76
36,Reti Opening,black,1-0,0.0,33
37,Caro-Kann Defence,white,0-1,0.0,48
38,King's Indian Defence,black,1-0,0.0,59
39,King's Pawn Game,white,0-1,0.0,22
40,Sicilian Defence,black,1-0,0.0,93
41,French Defence,white,0-1,0.0,46
42,Queen's Gambit,black,1-0,0.0,71
43,English Opening,white,0-1,0.0,60
44,Reti Opening,black,1-0,0.0,77
45,Caro-Kann Defence,white,0-1,0.0,54
46,King's Indian Defence,black,1-0,0.0,39
47,King's Pawn Game,white,0-1,0.0,68
48,Sicilian Defence,black,1-0,0.0,113
49,French Defence,white,0-1,0.0,74
50,Queen's Gambit,black,1-0,0.0,55
51,English Opening,white,0-1,0.0,68
52,Reti Opening,black,1/2-1/2,0.5,98
53,Caro-Kann Defence,white,0-1,0.0,64
54,King's Indian Defence,black,1-0,0.0,101
55,King's Pawn Game,white,0-1,0.0,56
56,Sicilian Defence,black,1-0,0.0,53
57,French Defence,white,0-1,0.0,108
58,Queen's Gambit,black,1-0,0.0,69
59,English Opening,white,0-1,0.0,102
60,Reti Opening,black,1-0,0.0,53
61,Caro-Kann Defence,white,0-1,0.0,94
62,King's Indian Defence,black,1-0,0.0,97
63,King's Pawn Game,white,0-1,0.0,16
64,Sicilian Defence,black,1-0,0.0,13
65,French Defence,white,0-1,0.0,24
66,Queen's Gambit,black,1-0,0.0,79
67,English Opening,white,0-1,0.0,90
68,Reti Opening,black,1-0,0.0,81
69,Caro-Kann Defence,white,0-1,0.0,72
70,King's Indian Defence,black,1/2-1/2,0.5,118
71,King's Pawn Game,white,0-1,0.0,80
72,Sicilian Defence,black,1-0,0.0,43
73,French Defence,white,0-1,0.0,68
74,Queen's Gambit,black,1-0,0.0,89
75,English Opening,white,0-1,0.0,64
76,Reti Opening,black,1-0,0.0,79
77,Caro-Kann Defence,white,0-1,0.0,66
78,King's Indian Defence,black,1-0,0.0,71
79,King's Pawn Game,white,0-1,0.0,66
80,Sicilian Defence,black,1-0,0.0,81
81,French Defence,white,0-1,0.0,50
82,Queen's Gambit,black,1-0,0.0,57
83,English Opening,white,0-1,0.0,64
84,Reti Opening,black,1-0,0.0,75
85,Caro-Kann Defence,white,0-1,0.0,70
86,King's Indian Defence,black,1-0,0.0,81
87,King's Pawn Game,white,0-1,0.0,80
88,Sicilian Defence,black,1-0,0.0,81
89,French Defence,white,0-1,0.0,80
90,Queen's Gambit,black,1-0,0.0,107
91,English Opening,white,0-1,0.0,68
92,Reti Opening,black,1-0,0.0,47
93,Caro-Kann Defence,white,0-1,0.0,38
94,King's Indian Defence,black,1-0,0.0,73
95,King's Pawn Game,white,0-1,0.0,50
96,Sicilian Defence,black,1-0,0.0,53
97,French Defence,white,0-1,0.0,122
98,Queen's Gambit,black,1-0,0.0,97
99,English Opening,white,0-1,0.0,44
100,Reti Opening,black,1-0,0.0,69
